Gene	S00022	S00050	S00472	S00501	S00827	S00830	S00836	S00837	S01453	S01494	S01556	S01563	S01698	S01728	S01792
A1BG	8.8879	2.21959	6.67355	2.92094	2.5888	2.62543	3.69494	1.56393	3.37139	3.35856	0.29025	1.04028	2.91656	3.88537	2.30221
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	5.16331	3.13575	7.5126	7.46737	3.22689	5.36073	1.80551	3.3247	3.89304	0.751796	4.56256	3.14625	4.3492	3.4225	8.93442
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	27.6077	13.8152	32.5034	19.864	26.2855	20.9774	32.3729	26.8723	30.2626	39.9163	22.7459	24.7354	34.6869	26.73	17.8834
AACS	40.8557	15.5665	9.90191	54.0898	7.25623	13.8674	5.96345	14.9072	5.06906	38.3145	6.50089	6.81743	13.3704	29.7769	7.47522
AADAC	0	0	0	0.252341	0	0	4.80154	1.03135	0	0	0	2.09076	1.42393	7.69644	0
AADACL2	0	0	0	0	0	0	0	0	0	0	6.42369	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	3.62089	7.51639	2.43449	0.601267	7.95935	1.99606	6.25143	4.06573	8.87607	3.58992	7.88481	5.1518	2.93089	5.62914	3.8861
AAMP	73.2246	57.5858	75.6078	62.0584	66.132	38.2654	80.0313	60.22	63.5693	67.2482	52.282	64.8784	57.1833	75.8832	55.1272
AANAT	0	0.337532	0	0	0	0	0	0	0	25.5246	0	0	0	0	0
AARS2	6.32309	5.12045	7.65688	4.81097	9.48183	6.66404	8.28035	9.33804	8.72823	8.73641	9.09659	12.1481	6.93845	5.55774	5.62804
AARSD1	0.188519	0.775857	1.48218	0.131964	1.50234	0.919642	0.61053	1.77899	0.07116	0.098143	0.058997	0.094899	1.09521	0.922002	0.591206
AASDH	3.90858	1.68541	2.89086	4.4768	2.13249	4.83043	4.72527	4.42108	5.15181	1.76304	3.43764	5.24458	1.53717	5.66989	4.15353
AASDHPPT	23.016	29.8284	16.5016	15.8299	36.1027	17.8907	26.3599	26.7247	23.9901	28.338	40.431	14.302	17.0239	24.8457	13.9141
AASS	0.61526	1.30944	1.11439	1.49942	1.101	0.811179	0.876007	2.68799	1.12906	2.57319	2.24646	2.83849	0.878909	1.63166	1.62446
AATF	27.3027	22.3803	22.1854	26.8813	16.8484	16.4517	20.5819	40.2279	16.4452	36.6062	70.4695	22.8696	31.9141	31.0957	32.8718
ABAT	4.79332	9.63696	20.4108	17.33	3.79503	14.6805	3.55638	0.930984	7.90172	0.478947	1.37089	6.67125	6.87335	92.8247	21.7739
ABCA1	2.42745	2.25445	2.50801	7.53921	2.46419	10.5993	2.93607	9.90247	4.60691	5.20563	1.18088	7.02989	4.14375	6.34634	1.96508
ABCA10	0.250793	0	0.169827	0	0.07885	0.093581	0	0	0	0.296597	0.418	0.305816	0.423952	0.079182	0.155134
ABCA12	0.062872	0.287295	0.566047	2.695	1.31016	0	1.3911	1.01895	0.510992	0.008284	0.005913	0.002791	0.305092	0.307808	1.38905
ABCA2	0.001924	0.005152	0.076315	1.2848	1.50068	2.64483	0.866667	1.52462	0.050019	0.020738	1.23337	0.529678	0.331629	4.67656	0.106003
ABCA3	13.3774	23.5487	31.3151	14.7458	10.9481	12.963	23.3506	15.3866	11.7339	12.5113	0.490455	26.9237	18.7026	25.2908	15.2654
ABCA5	3.03092	1.69733	6.61076	4.62062	1.04431	1.67927	1.34146	3.14811	0.48773	9.73852	6.28085	2.43274	2.76712	1.64962	3.72468
ABCA6	0.14351	0.106779	0.249162	0.616034	0.642101	1.74104	0.463158	1.30131	0.608775	0.256267	0.354303	0.949378	0.765599	0.253974	0.367564
ABCA7	5.91778	8.28617	5.80349	6.34291	10.7135	3.83322	2.63123	16.8715	2.34697	27.0022	1.61772	4.98916	9.26962	4.48058	6.22102
ABCA8	0.158873	2.02896	0.410279	0.262348	0.728095	0.133058	0.328869	1.00445	0.568593	0.122772	0.119304	2.27043	0.539166	0.260084	0.098633
ABCA9	0.009485	0.052453	0.404794	0.459835	0.602713	0.431779	0.2233	0.406969	0.246813	0.204453	0.153287	0.693025	0.531388	0.102329	0.08201
ABCB1	0.472572	0.820035	0.170804	0.799555	0.318651	0.71023	0.524257	0.727541	0.21459	1.29124	0.067971	1.20249	0.821536	0.29934	0.696555
ABCB10	5.73381	7.5251	5.72966	6.97474	6.52606	4.38197	6.22738	7.87654	7.69861	8.86086	5.22976	7.91526	6.99864	7.46214	6.56741
ABCB4	0.01262	0.004026	0.03517	0.308668	0.349876	0.109252	0.045075	0.121897	0.052956	0.542852	0	0.022646	0.137988	0	0.210305
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	12.0852	11.7831	14.9736	7.90187	12.3787	4.84123	12.6333	7.10609	6.94728	22.7211	7.99047	7.89241	4.70843	8.72577	6.10836
ABCB7	11.021	11.6531	3.51378	3.18346	9.666	7.73495	6.44179	4.87182	3.87441	6.10211	11.1469	6.288	9.4547	5.43435	5.51437
ABCB8	11.1104	10.3263	18.4698	11.8733	21.2127	7.82649	14.4085	8.56351	14.8628	20.201	13.6006	13.4506	10.1417	15.4301	11.0636
ABCB9	2.32662	2.0177	2.17561	1.71869	2.47409	1.13739	2.37816	5.46072	0.679788	5.58186	0.031345	2.18424	2.64631	1.15369	1.41468
ABCC1	3.83225	4.62946	0.009976	6.24506	2.79664	11.0422	5.98981	10.6257	6.44556	11.2653	0.91827	0.001734	2.56671	2.00325	0.004208
ABCC10	1.1597	0.00104	0.507621	0.018718	0.649587	0.763437	1.39191	1.72791	0.012264	0.386042	1.00982	0.761634	0.326358	0.090451	0.934759
ABCC11	0	0	0	0	0	0	0.031652	0.016844	0.033225	0	0	0.040246	0	0.072687	0
ABCC12	0	0	0	0	0	0.204285	0	0	0.570905	0	0	0	0	0	0
ABCC2	0.245974	0.086286	0.322557	0.171664	0.208194	0.264571	0.321852	0.175333	0.222577	0.110868	0.137117	0.368938	0.324047	0.349889	0.082279
ABCC3	0.129762	0.200671	1.15056	2.59444	0.534985	2.33444	2.09713	3.9117	1.22167	0.524751	0.471832	3.4378	2.26355	2.35496	0.32936
ABCC4	1.14224	1.29448	0.540303	1.55261	2.46299	1.94825	2.1569	3.99818	0.579297	27.1536	2.86112	2.94027	1.81692	1.84176	1.23137
ABCC5	16.2587	5.24118	19.221	5.29641	0.229412	10.9431	7.55837	18.3592	20.0047	8.02397	15.263	14.7324	11.1885	7.43592	9.98702
ABCC6	0.05069	0.217565	0.316951	1.1491	0.095233	0.174529	0.791298	1.1192	0.401779	0.32282	0	0.697357	0.437143	2.09777	0.77917
ABCC8	1.22873	4.54475	6.06816	3.61372	0.655702	2.74892	0.21698	0.470877	6.51927	3.74598	0.534825	3.28461	2.76798	0.560631	7.99109
ABCC9	0.50063	0.753872	1.58482	2.23228	2.4366	2.31797	0.797911	1.3497	1.29204	0.605642	4.01054	0.924736	1.6616	1.02164	4.30811
ABCD1	3.24314	4.82713	6.17636	9.86692	4.02686	5.3153	4.1294	8.02803	4.42063	13.0108	7.25397	5.55741	8.0938	5.7874	7.56967
ABCD2	0	0.267655	0	0.470547	0.175621	1.16443	0.361087	0.285799	0	0	0.071971	0.322845	0.49866	0	0
ABCD3	21.4494	16.0904	13.6165	20.0815	9.05677	13.4257	10.5764	11.7554	24.2697	23.4356	21.9286	20.2318	13.9375	27.8384	20.4068
