Gene	length
TSPAN6	9997
TNMD	14950
DPM1	23710
SCYL3	44266
C1orf112	59041
FGR	23122
CFH	95462
FUCA2	16909
GCLC	47761
NFYA	29430
NIPAL3	59497
LAS1L	22225
ENPP4	16700
SEMA3F	34018
CFTR	188641
ANKIB1	155410
CYP51A1	22597
KRIT1	47132
RAD52	78306
BAD	14877
LAP3	30664
CD99	50015
HS3ST1	35745
WNT16	15738
HECW1	453355
MAD1L1	417150
LASP1	51912
SNX11	16069
TMEM176A	4350
M6PR	9401
KLHL13	219528
CYP26B1	18625
ICA1	149429
DBNDD1	15267
ALS2	80667
CASP10	46266
CFLAR	60524
TFPI	90206
RBM5	30103
MTMR7	116558
SLC7A2	73479
ARF5	3290
SARM1	32353
POLDIP2	10959
PLXND1	51527
AK2	28944
CD38	74905
FKBP4	10454
KDM1A	64222
RBM6	137100
CAMKK1	32739
RECQL	32760
HSPB6	2464
ARHGAP33	13259
NDUFAB1	15303
PDK4	13018
SLC22A16	51927
ZMYND10	4621
ABCB5	141342
ARX	12272
SLC25A13	201928
ST7	276676
CDC27	71593
SLC4A1	19746
CALCR	150243
HCCS	11755
DVL2	9176
PRSS22	5441
UPF1	36272
SKAP2	197523
SLC25A5	2953
HOXA11	4076
POLR2J	5829
DHX33	28066
MEOX1	21534
THSD7A	461833
LIG3	29232
RPAP3	44782
ACSM3	33568
CIAPIN1	19360
SPPL2B	26411
COPZ2	11627
PRKAR2B	117107
MSL3	17595
CREBBP	155660
MPO	11081
PON1	26857
WDR54	4026
CROT	54131
ABCB4	73985
RHBDD2	9935
SOX8	5210
IBTK	77758
ZNF195	21296
MYCBP2	282438
FBXL3	21900
ITGAL	50444
PDK2	16802
ITGA3	34372
ZFX	67274
LAMP2	43202
ITGA2B	17469
ASB4	54291
GDE1	20406
CRLF1	13563
OSBPL7	14423
TMEM98	16163
YBX2	6377
KRT33A	4737
MAP3K14	53901
ABCC8	84348
CACNG3	106078
TMEM132A	12700
AP2B1	139092
TAC1	8387
ZNF263	7970
CX3CL1	12555
SPATA20	8764
CACNA1G	66760
TNFRSF12A	2016
DLX6	5488
MAP3K9	86988
RALA	84549
BAIAP2L1	109441
ETV1	100197
AGK	103835
ALDH3B1	20727
TTC22	21612
PHTF2	158732
CCL26	22060
FARP2	138557
USH1C	50517
GGCT	8221
DBF4	33061
TBXA2R	12369
IFRD1	54060
LGALS14	4964
COX10	139174
GTF2IRD1	148696
PAF1	5478
VPS41	186218
ELAC2	26453
SCIN	89462
ARSD	25368
PNPLA4	29167
MYH13	72142
ADIPOR2	97605
CDKL3	72624
UPP2	140976
PRSS21	4483
MARK4	54014
PROM1	115796
CCDC124	10971
CEACAM21	37312
PAFAH1B1	91962
NOS2	43764
DNAH9	371279
KIAA0100	30720
SLC13A2	24138
GAS7	288001
TRAPPC6A	15305
MATK	23827
CEACAM7	14969
CD79B	3592
SCN4A	34365
ST7L	95628
TKTL1	34553
PAX6	33170
RPUSD1	3408
RHBDF1	14572
LUC7L	40514
CACNA2D2	141632
BAIAP3	15795
PIGQ	14171
TEAD3	23483
SELE	11440
DNAJC11	67647
FMO3	26914
